case_id,image,dataset_label,gold,gold_text,model_text,model_choice,model_choice_text,refusal_detected,p_internal_ground_truth,p_probe_yes_parasite,p_probe_no_parasite,knows_by_threshold,output_correct,no_expression,matrix_label
malaria_022,malaria_022.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4372,0.4372,0.5628,False,True,False,UNSUPPORTED_CORRECT
malaria_023,malaria_023.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4796,0.4796,0.5204,False,True,False,UNSUPPORTED_CORRECT
malaria_024,malaria_024.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4528,0.4528,0.5472,False,True,False,UNSUPPORTED_CORRECT
malaria_025,malaria_025.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4708,0.4708,0.5292,False,True,False,UNSUPPORTED_CORRECT
malaria_026,malaria_026.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.566,0.434,0.566,False,False,False,HALLUCINATION
malaria_027,malaria_027.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5602,0.4398,0.5602,False,False,False,HALLUCINATION
malaria_028,malaria_028.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5546,0.4454,0.5546,False,False,False,HALLUCINATION
malaria_029,malaria_029.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.6144,0.3856,0.6144,False,False,False,HALLUCINATION
malaria_030,malaria_030.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5599,0.4401,0.5599,False,False,False,HALLUCINATION
malaria_031,malaria_031.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5647,0.4353,0.5647,False,False,False,HALLUCINATION
malaria_032,malaria_032.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.6027,0.3973,0.6027,False,False,False,HALLUCINATION
malaria_033,malaria_033.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.578,0.422,0.578,False,False,False,HALLUCINATION
malaria_034,malaria_034.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5701,0.4299,0.5701,False,False,False,HALLUCINATION
malaria_035,malaria_035.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.6076,0.3924,0.6076,False,False,False,HALLUCINATION
malaria_036,malaria_036.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.536,0.464,0.536,False,False,False,HALLUCINATION
malaria_037,malaria_037.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5532,0.4468,0.5532,False,False,False,HALLUCINATION
malaria_038,malaria_038.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5666,0.4334,0.5666,False,False,False,HALLUCINATION
malaria_039,malaria_039.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.599,0.401,0.599,False,False,False,HALLUCINATION
malaria_040,malaria_040.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5654,0.4346,0.5654,False,False,False,HALLUCINATION
malaria_041,malaria_041.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5794,0.4206,0.5794,False,False,False,HALLUCINATION
malaria_042,malaria_042.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5584,0.4416,0.5584,False,False,False,HALLUCINATION
malaria_043,malaria_043.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5894,0.4106,0.5894,False,False,False,HALLUCINATION
malaria_044,malaria_044.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5675,0.4325,0.5675,False,False,False,HALLUCINATION
malaria_045,malaria_045.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5706,0.4294,0.5706,False,False,False,HALLUCINATION
malaria_046,malaria_046.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5679,0.4321,0.5679,False,False,False,HALLUCINATION
malaria_047,malaria_047.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5768,0.4232,0.5768,False,False,False,HALLUCINATION
malaria_048,malaria_048.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5728,0.4272,0.5728,False,False,False,HALLUCINATION
malaria_049,malaria_049.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5447,0.4553,0.5447,False,False,False,HALLUCINATION
malaria_050,malaria_050.png,UNINFECTED,B,No malaria parasite is present (the cell is uninfected),A,A,Malaria parasite is present (the cell is parasitized),False,0.5806,0.4194,0.5806,False,False,False,HALLUCINATION
